,Age,score_wifi,score_booking,score_location,score_restaurant,score_spa,score_sports,score_checkin,score_local_sites,score_housekeeping,score_overall
122,11,1,1,3,3,3,3,5,5,3,1
123,45,5,5,5,2,5,4,3,4,5,5
124,62,4,4,3,4,1,5,1,4,1,0
125,34,3,3,3,4,1,4,5,4,3,3
126,51,2,2,2,4,5,4,3,4,5,5
127,58,1,4,4,2,4,2,2,2,4,1
128,22,3,3,2,3,3,3,5,5,3,2
129,8,4,4,4,4,4,4,2,1,4,3
130,26,4,4,3,2,2,2,4,5,2,3
131,22,4,4,3,3,1,3,4,5,3,1
132,21,3,1,1,3,3,3,1,3,3,1
133,31,3,4,2,3,3,3,3,4,3,1
134,44,2,2,2,2,5,1,2,1,5,2
135,27,2,2,2,5,5,5,3,5,5,5
136,47,3,3,3,2,5,5,3,5,5,5
137,24,3,3,3,3,3,3,2,2,3,1
138,67,1,1,1,1,3,1,1,1,1,0
139,32,2,2,2,4,4,4,3,5,4,4
140,58,4,4,3,4,1,3,1,3,1,3
141,12,4,4,5,1,1,1,5,4,1,0
142,56,3,1,1,5,2,3,3,3,4,1
143,58,3,5,1,2,5,1,3,1,3,1
144,24,3,3,3,5,5,5,1,3,5,2
145,68,3,3,3,5,5,5,4,4,5,2
146,46,1,1,1,3,5,5,5,5,3,4
147,43,2,2,2,2,4,3,3,3,4,3
148,55,0,0,4,4,5,4,4,4,3,3
149,54,4,5,2,2,4,3,3,3,4,2
150,42,5,5,5,4,5,2,5,2,3,4
151,47,1,3,3,3,4,1,1,1,4,1
152,29,1,1,1,5,5,5,4,4,5,1
153,36,2,4,4,2,2,2,1,1,2,2
154,50,4,4,4,2,5,5,4,5,3,4
155,31,4,4,4,1,1,1,4,4,1,0
156,13,1,1,4,4,4,4,4,4,4,1
157,24,3,4,4,5,5,5,2,4,5,1
158,60,2,2,2,4,1,3,5,3,1,3
159,42,2,2,3,5,4,3,3,3,2,1
160,57,2,2,2,4,4,4,4,3,4,3
161,42,2,4,2,2,4,3,4,3,3,4
162,20,0,0,5,2,2,2,3,5,2,4
163,51,3,2,4,3,4,4,4,4,3,1
164,45,2,2,2,2,5,5,3,5,4,3
165,26,5,5,5,5,5,5,1,3,5,5
166,26,2,2,3,5,5,5,2,4,5,2
167,24,2,2,3,3,5,3,2,2,3,1
168,49,5,1,1,5,5,1,5,4,5,5
169,17,5,4,1,5,4,5,5,3,5,5
170,39,3,3,3,4,5,4,4,4,3,3
171,49,0,1,1,3,5,4,4,4,5,5
172,48,3,4,3,4,4,4,3,4,3,1
173,52,5,5,5,2,5,4,5,4,5,5
174,25,4,4,4,3,3,3,5,4,3,4
175,16,3,5,5,3,3,3,2,3,3,2
176,58,1,1,1,2,5,4,5,4,4,3
177,8,4,4,3,3,3,3,4,3,3,1
178,42,3,5,3,4,4,5,4,3,4,4
179,52,4,1,1,2,4,4,2,4,4,1
180,47,5,3,3,2,1,5,3,5,4,4
181,69,1,1,2,4,4,1,4,1,3,2
182,47,2,3,3,5,3,4,3,4,4,1
183,41,1,1,1,3,4,4,5,4,2,4
184,40,4,4,3,1,1,1,5,5,1,0
185,56,1,1,3,3,1,5,1,5,2,2
186,41,2,2,2,4,4,4,3,4,4,4
187,40,3,4,4,3,3,3,4,4,3,1
188,12,2,2,2,1,1,1,3,2,1,0
189,59,4,3,4,1,1,1,5,4,1,3
190,21,1,1,1,2,2,2,3,4,2,1
191,12,2,2,3,2,2,2,2,1,2,1
192,31,1,5,5,1,1,1,4,4,1,0
193,37,3,3,3,2,2,2,4,3,2,2
194,38,4,5,3,2,2,2,3,5,2,3
195,45,2,0,1,2,5,2,4,4,2,2
196,43,3,3,3,4,4,4,3,4,5,5
197,52,1,2,2,3,5,3,3,3,3,2
198,57,3,4,4,5,4,2,4,2,2,1
199,13,2,2,3,1,1,1,5,5,1,0
200,45,5,5,5,5,5,5,3,5,4,3
201,43,5,5,5,5,4,5,5,5,3,3
202,53,2,2,4,2,2,2,2,3,2,1
203,23,4,1,4,5,5,5,3,3,5,5
204,16,2,2,2,2,2,2,3,5,2,1
205,23,2,2,2,2,1,2,3,4,2,2
206,45,2,2,4,4,4,4,4,5,4,1
207,46,2,2,2,2,2,5,2,5,3,4
208,49,2,2,2,3,5,1,4,1,3,1
209,40,4,3,3,3,4,3,4,3,3,2
210,19,5,5,5,4,4,4,4,4,4,3
211,48,4,4,3,4,3,1,3,1,1,0
212,64,2,3,4,5,3,2,4,2,4,1
213,38,5,3,3,5,5,5,1,1,5,5
214,23,2,1,4,3,3,3,2,3,3,2
215,38,2,2,2,1,5,4,4,4,1,4
216,41,1,1,2,2,1,2,4,5,2,1
217,29,1,1,4,1,1,1,4,3,1,0
218,47,5,2,1,4,4,4,4,3,4,3
219,50,2,2,5,4,4,4,3,1,4,2
220,18,2,2,3,3,3,3,3,5,3,2
221,20,2,2,3,5,1,5,3,1,5,1
222,41,2,2,2,5,5,4,3,4,4,4
223,12,2,2,3,1,1,1,4,4,1,0
224,36,2,2,3,2,2,4,2,3,2,2
225,49,3,3,3,4,5,4,5,4,3,3
226,55,2,2,4,2,4,5,3,5,2,1
227,43,3,3,3,2,3,2,1,2,2,2
228,49,2,2,2,3,3,3,4,4,3,2
229,35,1,1,1,3,3,3,3,2,3,2
230,45,1,3,1,3,4,5,4,5,4,3
231,28,5,5,5,5,5,5,1,2,5,5
232,60,4,4,4,1,5,4,1,4,2,4
233,35,2,2,4,1,2,2,4,2,3,1
234,38,3,3,5,4,4,4,5,5,4,1
235,48,4,4,4,4,3,4,2,4,1,4
236,65,2,3,4,2,4,3,4,3,3,1
237,30,3,3,2,1,1,1,5,5,1,0
238,51,2,5,1,2,5,3,1,3,1,0
239,23,5,5,2,4,4,4,3,2,4,3
240,37,3,4,4,3,3,3,3,3,3,2
241,23,5,5,5,5,3,5,3,3,5,5
242,32,4,4,4,4,4,4,3,3,4,2
243,67,3,3,4,1,1,1,1,5,1,0
244,65,1,1,1,5,4,4,5,4,3,2
245,48,1,1,1,3,5,5,4,5,5,5
246,60,4,4,4,2,5,4,3,4,3,3
247,31,3,1,1,3,3,3,4,4,3,2
248,22,4,5,5,4,4,4,3,4,4,3
249,27,2,2,5,5,5,5,1,4,5,1
250,19,2,2,4,1,1,1,4,3,1,0
251,26,3,3,4,4,4,4,2,4,4,1
252,72,4,3,3,4,4,4,1,3,4,1
253,34,5,5,5,1,5,5,5,5,5,5
254,45,2,2,2,4,4,4,4,4,3,4
255,51,2,4,4,3,4,2,4,2,1,0
256,26,2,2,3,4,3,4,1,4,4,1
257,12,3,3,3,1,1,1,4,4,1,0
258,72,2,3,5,2,4,3,4,3,3,2
259,45,4,4,4,4,4,4,5,5,4,4
260,22,2,2,2,5,5,5,5,4,5,5
261,53,4,4,1,4,4,5,4,5,5,1
262,33,3,3,4,4,4,4,5,5,4,2
263,46,4,4,1,5,4,4,3,4,3,2
264,54,2,2,2,5,5,5,4,5,4,3
265,40,4,3,3,4,4,4,1,3,4,2
266,37,2,3,3,4,3,2,1,2,4,1
267,35,2,5,2,1,1,5,3,5,3,3
268,26,4,5,3,4,4,4,4,4,4,3
269,62,4,3,3,2,1,5,3,5,1,3
270,58,1,1,1,5,5,3,5,3,3,4
271,55,2,2,3,2,5,2,5,2,3,2
272,60,3,1,1,2,2,3,2,3,2,1
273,15,3,3,4,5,1,5,3,5,5,2
274,67,4,4,3,5,5,5,4,3,5,1
275,43,0,1,2,5,4,3,5,3,5,5
276,30,1,1,1,5,5,5,5,5,5,5
277,42,5,4,1,3,3,5,3,5,1,3
278,40,3,3,3,4,4,4,4,5,4,3
279,47,2,2,2,2,5,5,4,5,4,3
280,38,4,2,2,4,3,4,3,4,2,2
281,25,3,3,5,3,3,1,3,3,3,1
282,26,3,3,4,3,3,5,3,4,3,2
283,66,2,2,3,4,4,4,3,4,4,1
284,69,1,4,4,3,4,1,4,1,2,2
285,22,2,5,5,2,2,2,3,3,2,1
286,8,2,2,3,3,3,3,5,5,3,2
287,37,5,5,4,4,4,4,3,4,4,3
288,69,1,1,5,4,4,1,4,1,4,1
289,28,4,2,2,4,4,4,3,4,4,1
290,51,2,1,4,2,2,2,4,3,2,1
291,46,3,3,3,3,4,2,4,1,4,1
292,39,4,4,3,4,2,4,4,4,4,4
293,21,4,4,4,1,1,1,1,4,1,0
294,46,4,4,4,2,4,4,5,4,5,5
295,36,2,2,2,5,5,5,5,5,3,3
296,60,3,3,3,3,4,4,3,4,3,3
297,23,2,5,5,2,1,2,4,4,2,1
298,52,4,4,5,4,4,4,5,4,4,4
299,36,4,5,5,4,4,4,2,3,4,3
300,41,3,2,3,4,3,4,3,4,5,5
301,45,2,2,2,3,5,4,4,4,3,4
302,67,3,3,3,5,2,5,1,4,5,2
303,45,4,4,4,3,5,4,5,4,5,5
304,56,3,3,3,4,5,1,2,1,5,1
305,62,3,2,2,2,2,2,1,3,2,1
306,30,2,1,1,2,2,2,3,4,2,2
307,48,4,5,5,4,4,4,1,2,4,4
308,32,2,2,2,4,4,4,3,4,4,3
309,30,0,1,1,2,2,2,3,4,2,3
310,40,1,1,5,4,2,4,5,2,4,1
311,42,5,5,5,5,4,4,4,4,3,3
312,52,5,5,5,5,5,3,5,3,5,5
313,50,5,5,5,3,4,5,4,5,3,3
314,18,2,2,3,2,2,2,5,4,2,1
315,30,3,3,3,5,5,5,3,5,5,5
316,26,3,3,3,1,1,1,3,3,1,0
317,37,4,4,4,4,4,4,4,5,4,3
318,64,1,0,3,1,1,1,3,4,1,0
319,21,5,5,1,2,2,2,3,4,2,4
320,52,3,4,4,3,4,3,1,3,3,1
321,52,5,5,5,5,4,5,4,5,3,3
322,29,2,2,2,5,2,5,2,3,5,2
323,13,2,2,3,1,1,1,1,4,1,0
324,28,1,3,1,5,5,5,5,5,5,5
325,13,2,2,3,2,2,2,4,4,2,2
326,16,2,2,3,5,5,5,5,4,5,1
327,58,3,3,3,3,5,4,4,4,5,5
328,24,3,3,1,5,5,5,5,3,5,2
329,25,2,4,4,2,2,2,4,3,2,1
330,34,2,2,2,4,4,4,3,5,4,2
331,44,5,5,5,5,3,5,2,5,3,4
332,23,3,3,1,1,1,1,4,5,1,0
333,20,5,5,4,1,1,1,4,4,1,4
334,8,4,4,1,3,3,3,3,5,3,2
335,26,1,5,5,1,4,1,3,3,1,0
336,43,4,4,4,5,5,5,3,3,5,2
337,72,2,1,1,3,4,2,1,2,4,2
338,48,2,4,4,4,4,2,5,2,1,3
339,27,4,4,3,3,1,3,4,4,3,1
340,25,4,2,2,4,4,1,4,2,4,2
341,26,1,1,2,5,5,5,4,2,5,2
342,16,3,3,3,1,3,1,2,4,1,0
343,36,2,2,3,5,5,5,3,4,5,1
344,55,4,2,1,5,4,3,4,3,5,2
345,23,0,1,1,5,5,5,2,1,5,5
346,50,2,4,4,5,4,2,1,2,4,1
347,45,5,5,5,2,4,5,5,5,3,3
348,57,1,1,1,4,5,5,4,5,4,3
349,50,3,3,3,5,5,3,3,3,5,5
350,42,1,1,4,3,3,4,1,4,4,1
351,34,2,2,2,3,5,5,3,5,3,3
352,17,1,1,4,4,2,4,2,3,4,1
353,45,4,4,4,4,4,5,3,5,4,4
354,59,2,2,2,4,5,2,5,2,4,4
355,39,5,3,3,5,5,5,5,2,5,5
356,28,2,1,1,2,2,2,2,4,2,2
357,44,2,2,3,4,4,1,2,1,1,0
358,9,5,4,2,4,4,4,5,5,4,3
359,24,1,0,3,5,5,5,2,2,5,1
360,37,3,3,4,3,3,3,1,3,3,2
361,25,0,0,4,5,5,5,4,3,5,5
362,22,2,2,2,4,4,4,4,4,4,4
363,55,3,3,3,5,5,3,5,3,5,5
364,53,4,3,3,4,4,4,1,4,4,4
365,46,3,3,3,5,4,4,3,4,4,3
366,62,0,0,3,5,5,5,5,5,5,5
367,53,5,4,5,5,4,5,5,5,4,4
368,50,3,3,3,2,4,5,5,5,4,4
369,57,5,5,5,2,2,4,4,4,3,3
370,54,3,3,3,2,4,3,3,3,5,5
371,42,1,1,1,5,5,5,5,5,5,5
372,17,2,2,2,4,4,4,1,4,4,2
373,53,1,1,1,3,4,4,3,4,3,4
374,49,2,2,2,3,5,4,5,4,4,3
375,37,5,5,3,5,5,5,3,5,5,5
376,35,4,2,2,4,4,4,5,3,4,3
377,30,1,1,1,2,1,2,4,2,2,2
378,16,1,0,4,5,5,5,4,4,5,2
379,46,4,4,4,3,4,5,5,5,4,3
380,51,2,3,3,4,4,2,4,2,2,2
381,70,1,1,3,1,1,1,4,3,1,0
382,26,2,2,5,5,2,5,4,4,5,1
383,46,3,3,3,4,5,4,5,4,3,3
384,12,2,2,4,1,1,1,1,4,1,0
385,25,4,4,4,4,4,4,4,5,4,4
386,63,2,2,2,5,5,4,4,4,3,4
387,48,1,1,1,4,5,4,5,4,3,4
388,43,3,3,3,3,5,4,5,4,4,4
389,35,5,5,5,2,5,4,3,4,5,5
390,32,4,4,4,4,4,4,3,4,4,3
391,44,2,2,5,4,4,4,1,2,4,2
392,60,1,1,3,5,5,5,5,1,5,2
393,20,2,2,4,2,2,2,3,3,2,1
394,10,1,1,4,4,4,4,5,5,4,1
395,51,2,3,1,1,3,3,2,3,2,1
396,22,2,2,3,2,2,2,4,5,2,1
397,42,1,1,3,5,2,3,3,3,3,1
398,32,1,1,1,5,5,5,1,5,5,5
399,24,2,2,3,1,1,1,3,1,1,0
400,43,2,2,2,2,4,5,5,5,3,3
401,7,3,3,2,4,4,4,3,5,4,1
402,29,5,4,5,5,5,5,3,2,5,5
403,48,4,2,2,5,3,4,2,4,5,5
404,25,3,3,3,3,2,1,2,1,2,2
405,25,2,2,3,1,1,1,4,5,1,0
406,35,4,4,4,3,5,2,5,2,4,4
407,57,2,2,2,4,3,2,1,2,4,1
408,52,4,4,4,2,3,5,4,5,3,3
409,17,0,0,3,4,4,4,5,5,4,3
410,30,2,3,1,1,1,1,4,5,1,0
411,38,3,3,3,2,4,5,5,5,5,5
412,38,5,5,5,1,3,4,5,4,5,5
413,38,1,1,3,3,3,3,3,5,3,1
414,23,2,2,3,3,3,3,5,4,3,3
415,39,5,5,5,2,4,4,4,4,4,3
416,55,1,2,2,5,2,1,1,1,4,1
417,25,3,3,1,5,5,5,3,5,5,2
418,59,4,2,2,4,4,4,1,4,3,1
419,9,1,1,3,1,1,1,3,5,1,0
420,26,0,0,3,3,1,3,5,4,3,4
421,51,5,5,5,3,5,4,5,4,3,3
422,40,2,2,2,4,4,5,4,5,5,5
423,56,3,5,3,4,4,3,3,3,1,0
424,56,3,3,3,5,5,4,1,4,5,2
425,18,2,2,3,3,4,3,4,3,3,1
426,8,3,3,3,2,5,2,3,2,2,1
427,33,4,3,3,4,4,4,1,3,4,4
428,46,3,3,3,3,4,5,3,5,5,5
429,41,4,4,4,1,3,2,1,2,2,2
430,36,3,3,3,4,3,4,1,4,1,4
431,26,1,1,1,5,5,5,3,3,5,5
432,36,3,3,3,5,5,5,4,3,5,1
433,31,5,5,5,2,2,2,3,1,2,3
434,24,2,2,1,1,1,1,1,2,1,0
435,39,5,5,5,2,4,2,3,2,4,4
436,20,3,4,3,4,4,4,2,3,4,1
437,69,2,2,1,3,5,2,5,2,3,2
438,27,1,1,4,5,5,5,2,1,5,2
439,10,3,4,4,3,2,3,4,4,3,1
440,60,2,2,2,4,4,5,3,5,5,5
441,44,2,2,2,3,4,4,3,4,4,4
442,68,2,2,3,4,5,4,4,4,5,2
443,41,3,3,3,5,4,3,3,3,4,2
444,46,3,2,2,3,3,2,3,3,3,1
445,54,3,2,2,3,3,3,2,3,3,2
446,44,1,1,1,5,2,2,4,2,2,2
447,43,5,5,3,4,4,4,2,4,4,3
448,44,5,5,5,4,4,4,4,4,4,3
449,26,4,4,1,5,5,5,4,5,5,2
450,48,2,2,2,5,4,5,5,5,5,5
451,30,4,4,4,4,4,4,3,5,4,4
452,46,1,1,1,2,4,5,3,5,3,4
453,23,2,2,2,2,2,2,3,4,2,1
454,39,5,5,5,5,4,5,5,5,3,3
455,24,5,5,5,4,4,4,4,4,4,4
456,48,2,4,3,4,4,2,3,2,3,1
457,63,3,3,5,5,4,5,3,5,5,1
458,37,5,5,5,5,5,5,5,4,5,5
459,37,4,1,1,1,4,4,1,4,3,2
460,57,1,3,1,5,4,5,4,5,5,5
461,21,2,2,3,1,1,1,5,4,1,0
462,9,2,2,2,2,4,2,1,3,2,1
463,24,5,5,5,4,4,4,3,5,4,4
464,36,3,3,5,3,3,3,4,5,3,1
465,44,2,2,2,4,5,4,5,4,3,4
466,49,2,5,5,4,4,0,2,0,3,2
467,42,4,4,4,3,4,4,4,4,3,4
468,52,4,0,2,5,4,5,3,5,3,3
469,52,2,4,4,2,2,2,4,3,2,1
470,20,4,4,3,1,1,1,2,4,1,0
471,47,1,1,1,1,2,5,1,5,3,4
472,45,2,2,2,1,2,2,3,2,4,1
473,44,4,4,4,3,5,4,3,4,3,3
474,47,2,2,2,4,2,2,2,2,2,1
475,57,5,5,5,1,1,5,4,5,5,5
476,34,4,4,4,4,4,3,3,3,3,4
477,26,4,5,5,4,5,4,4,5,4,3
478,45,0,0,3,3,5,3,4,3,5,5
479,33,3,4,3,2,5,4,4,4,3,4
480,22,1,1,3,2,3,2,4,3,2,2
481,51,5,5,5,5,5,4,4,4,4,3
482,60,4,4,1,4,4,1,4,5,4,4
483,40,1,1,1,4,4,4,4,4,3,4
484,62,3,5,3,2,2,2,3,2,2,1
485,68,3,3,2,5,5,2,4,2,3,2
486,38,2,5,5,2,4,2,4,2,3,2
487,44,5,5,5,3,4,5,3,5,3,4
488,11,3,3,1,1,1,1,5,5,1,0
489,33,1,1,1,2,2,2,4,5,2,1
490,10,1,3,3,5,4,5,5,4,5,1
491,51,2,4,4,2,2,2,3,4,2,4
492,34,4,4,4,3,4,5,5,5,1,3
493,69,4,1,1,1,2,4,3,4,1,0
494,49,4,2,4,3,4,4,4,4,3,4
495,30,2,5,5,2,2,2,2,4,2,2
496,40,3,3,1,1,1,1,5,1,1,0
497,29,2,2,4,2,2,2,4,3,2,2
498,68,3,3,2,3,3,3,4,5,3,1
499,53,2,5,5,5,4,2,1,2,3,1
500,24,4,4,4,5,5,5,4,5,5,5
501,43,4,4,4,4,4,4,4,4,5,5
502,7,2,2,2,2,4,5,4,2,4,2
503,65,4,4,4,3,4,4,5,4,5,1
504,8,4,4,2,2,2,2,4,4,2,1
505,50,1,1,3,4,4,4,3,4,4,2
506,26,3,3,3,3,4,4,4,4,4,1
507,24,3,3,5,2,2,2,3,4,2,1
508,55,1,1,3,3,4,5,5,5,5,2
509,21,3,3,4,1,1,1,1,3,1,0
510,57,4,4,4,4,3,4,5,4,3,3
511,22,2,2,2,4,4,4,4,2,4,3
512,49,3,3,3,3,4,4,5,4,3,1
513,31,1,1,2,3,3,3,3,5,3,1
514,21,5,4,1,5,1,4,1,3,1,4
515,38,5,5,1,2,2,2,3,4,2,3
516,42,1,2,2,5,3,1,2,1,4,2
517,55,4,1,4,3,5,4,4,4,5,5
518,26,1,1,2,3,3,3,1,2,3,2
519,43,1,1,1,5,4,1,1,1,2,1
520,12,3,3,4,4,3,4,3,3,4,2
521,32,2,4,4,2,2,2,2,3,2,2
522,46,2,2,2,3,3,4,3,4,5,5
523,19,4,2,2,4,3,4,4,3,4,1
524,38,2,5,2,4,3,4,3,4,3,4
525,52,3,3,3,4,4,4,4,4,3,3
526,47,1,1,4,3,3,3,1,3,3,1
527,19,2,2,3,1,1,1,5,4,1,0
528,43,3,3,3,5,5,4,4,4,5,1
529,23,2,1,1,2,2,2,1,3,2,2
530,45,1,5,1,3,4,3,5,3,3,4
531,58,5,5,4,2,4,3,2,3,2,3
532,25,3,3,4,3,3,3,3,4,3,2
533,68,4,4,2,1,2,1,5,1,5,2
534,64,3,3,3,3,4,4,3,4,3,3
535,57,2,2,2,3,5,5,4,5,4,3
536,43,4,4,4,4,3,4,3,4,3,2
537,28,2,2,2,5,5,5,3,5,5,5
538,30,3,2,3,3,3,3,3,3,3,1
539,23,2,2,2,5,5,5,4,3,5,5
540,37,4,4,2,4,3,4,4,5,4,3
541,54,2,2,2,5,5,4,4,4,5,5
542,40,5,5,5,4,5,5,5,5,4,3
543,47,5,2,2,5,5,5,4,5,5,5
544,24,5,5,1,3,4,3,4,5,3,4
545,25,3,3,4,4,4,4,1,4,4,2
546,40,4,4,2,4,4,4,4,4,4,4
547,38,5,3,5,3,4,5,3,5,5,5
548,45,3,1,1,1,5,3,3,3,1,3
549,29,2,2,2,3,3,3,3,5,3,1
550,42,5,4,5,4,4,2,3,2,5,5
551,42,3,3,3,3,3,3,2,3,3,1
552,27,3,3,2,5,5,5,4,5,5,1
553,38,4,4,4,1,1,1,3,5,1,0
554,64,1,0,1,4,5,4,4,4,3,1
555,46,4,4,4,3,2,4,4,4,3,1
556,46,3,3,3,5,4,2,3,2,5,5
557,53,3,3,3,4,5,2,4,2,4,3
558,48,4,4,1,4,4,4,4,5,4,1
559,9,4,3,1,1,1,1,3,1,1,0
560,39,3,3,3,3,4,4,3,4,3,3
561,16,2,2,1,5,5,5,5,4,5,2
562,29,2,2,3,5,5,5,4,4,5,1
563,41,2,2,2,5,5,5,3,5,3,4
564,51,2,2,2,5,5,5,4,5,5,5
565,42,2,2,2,3,2,5,3,5,3,3
566,51,5,5,5,3,4,4,5,4,4,4
567,50,5,5,5,4,5,4,5,4,3,4
568,48,1,1,1,2,5,4,5,4,4,4
569,50,4,4,4,3,4,5,4,5,5,5
570,20,2,2,4,3,3,3,3,4,3,1
571,36,3,3,3,3,3,3,5,4,3,2
572,10,2,2,2,2,5,2,5,4,2,1
573,64,4,4,3,1,1,1,2,4,1,0
574,58,2,2,3,1,1,1,3,4,1,0
575,55,2,2,2,5,5,5,5,5,3,3
576,64,2,2,1,5,5,5,5,5,5,1
577,52,5,5,5,3,5,5,4,5,3,4
